ID,ace,af,ak,am,an,ang,ar,arc,arz,as,ast,av,ay,az,azb,ba,bar,bcl,be,be-tarask,bg,bho,bjn,bm,bn,bo,bpy,br,bs,bxr,ca,cdo,ce,ceb,chr,ckb,co,cs,csb,cv,cy,da,de,din,diq,dty,dv,ee,el,eml,en,eo,es,et,eu,ext,fa,ff,fi,fo,fr,frr,fur,fy,ga,gag,gan,gd,gl,glk,gn,gom,gsw,gu,gv,ha,hak,haw,he,hi,hif,hr,ht,hu,hy,ia,id,ig,ilo,io,is,it,ja,jam,jbo,jv,ka,kaa,kbp,kg,ki,kk,kl,km,kn,ko,koi,krc,ksh,ku,ky,la,lb,lbe,lez,lfn,lg,li,lij,lmo,ln,lo,lt,lv,lzh,mai,mdf,mg,mhr,min,mk,ml,mn,mr,ms,mt,mwl,my,myv,mzn,nah,nan,nap,nb,nds,ne,new,nl,nn,nso,nv,ny,oc,om,or,os,pa,pam,pap,pcd,pdc,pl,pms,pnb,ps,pt,qu,rmy,rn,ro,ru,rue,rup,rw,sa,sah,sat,sc,scn,sco,sd,se,sgs,sh,si,sk,sl,sn,so,sq,sr,ss,st,su,sv,sw,szl,ta,tcy,te,tg,th,ti,tk,tl,tn,tpi,tr,ts,tt,tum,tyv,udm,ug,uk,ur,uz,ve,vec,vep,vi,vls,vro,wa,war,wo,wuu,xh,xmf,yi,yo,yue,za,zea,zh,zu
DOID:0050047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flinders Island spotted fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0050050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japanese spotted fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,日本紅斑熱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0050052,,Bosluisbytkoors,,,,,حمى الجبال الصخرية المبقعة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rocky-Mountain-Fleckfieber,,,,,,,,Rocky Mountain spotted fever,Makula febro,Fiebre de las Montañas Rocosas,,Mendi Harritsuetako sukar,,تب منقوط کوه‌های راکی,,,,Fièvre pourprée des montagnes Rocheuses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,febbre  maculosa delle Montagne Rocciose,ロッキー山紅斑熱,,,,,,,,,,,,,로키산 홍반열,,,,,,,,,,,,,,,,,,,,,,,,,,റോക്കി മലനിരകളിലെ പുള്ളിപ്പനി,,,Demam bintik Pergunungan Rocky,,,,,,,,,,,,,Rocky Mountains spotted fever,,,,,,,,,,,,,,,,,,Febre maculosa,,,,,Пятнистая лихорадка Скалистых гор,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Плямиста гарячка Скелястих Гір,,,,,,,,,,,,,,,,,,,,落磯山斑點熱,
DOID:0050053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flinders Island spotted fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0050061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erysipeloid,,,,,,,,Sikaruusu,,érysipéloïde,,,,,,,,Erisipeloide,,,,,,,,,,,,,Erizipeloid,,,,,,,,,,erisipeloide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erisipelóide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Еризипелоїд,,,,,,,,,,,,,,,,,,,,,
DOID:0050073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aspergillose invasive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aspergillosi invasiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0050080,,,,,,,نقص اليود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jodmangel,,,,,,,,iodine deficiency,,deficiencia de yodo,,,,,,,,Carence en iode,,,,,,,,,,,,,,,,,,,,,,,,,,Kekurangan iodin,,,,,,ヨウ素欠乏症,,,,,,,,,,,,,아이오딘 결핍증,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zaburzenia z niedoboru jodu,,,,deficiência de iodo,,,,,Йододефицит,,,,,,,,,,,,,,,,,,,,,,,,,,,அயோடின் குறைபாடு,,,,,,,,,,,,,,,,,Йододефіцит,,,,,,,,,,,,,,,,,,,,碘缺乏,
DOID:0050083,,,,,,,داء كيشان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keshan-Krankheit,,,,,,,,Keshan disease,,,,,,بیماری کشان,,,,Maladie de Keshan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malattia di Keshan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,கேசன் நோய்,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,克山病,
DOID:0050096,,,,,,,سعفة اللحية,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tinea barbae,,,,,,,,tinea barbae,,Tinea barbae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tinea barbae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baardschurft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tinea barbae,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0050097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ectothrix infectious disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0050105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,endothrix infectious disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0050116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tinea imbricata,,,,,,,,tinea imbricata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0050117,,,,,Malautía infecciosa,,مرض معد,,,,enfermedá infecciosa,,,,,,,,Інфекцыйныя захворванні,,Инфекциозна болест,,,,,ནད་ཡམས།,,,Zarazna bolest,,malaltia infecciosa,,,,,,,infekční onemocnění,,,Clefyd heintus,,Infektionskrankheit,,,,,,μολυσματική ασθένεια,,,infekta malsano,enfermedad infecciosa,Nakkushaigused,Gaixotasun infekzioso,,بیماری عفونی,,Tartuntatauti,,maladie infectieuse,,,Ynfeksjesykte,Galar tógálach,,,,Doenza infecciosa,,,,,,,,Chhòn-ngiam-phiang,,,संक्रामक रोग,,infektivna bolest,Maladi kontajye,,,,penyakit menular,,,,,malattia infettiva,感染症,,,Penyakit nular,ინფექციური დაავადებები,,Kʊdɔŋ kɩɖɛzʊʊ,,,Жұқпалы аурулар,,,,감염병,,,,,Жугуштуу оорулар,,Infektiounskrankheet,,,,,,,,,,Infekcinė liga,infekcijas slimība,,,,,,,,,,संसर्गजन्य रोग,,,,ကူးစက်တတ်သည့် ရောဂါများ,,,,Thoân-jiám-pīⁿ,,infeksjonssykdom,,सरुवा रोग चिकित्सा,,infectieziekte,infeksjonssjukdom,,,,malautiá infecciosa,,,,,,,,,choroby zakaźne,,,,doença infecciosa,,,,boală infecțioasă,инфекционные заболевания,,,,औपसर्गिकव्याधिः,Инфекционнай ыарыыннан,,,,,,,,Infektivne bolesti,බෝවන රෝග,infekčná choroba,Nalezljiva bolezen,,,,заразна болест,,,,infektionssjukdom,Ugonjwa wa kuambukiza,,தொற்றுநோய்,,అంటువ్యాధి,Бемориҳои сироятӣ,โรคติดเชื้อ,,Infeksion keseller,,,,,,инфекцион авырулар,,,,,Інфекційні захворювання,,Infeksion kasalliklar,,,,bệnh truyền nhiễm,,Külgenakkaja tõbi,,Nakakatapon nga sakit,,,,,,,傳染病,Binghlah,,傳染病,
DOID:0050118,,,,,,,التهاب لاكروس الدماغي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Crosse-Enzephalitis,,,,,,,,La Crosse encephalitis,,encefalitis de La Crosse,,,,,,,,,,,,,,,,,,,,,,,,,,,ला क्रोस इनसेफेलाइटिस,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0050120,,,,,,,داء البلعمة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hämophagozytische Lymphohistiozytose,,,,,,,,hemophagocytic lymphohistiocytosis,,Linfohistiocitosis hemofagocítica,,,,,,,,Lymphohistiocytose hémophagocytaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sindrome emofagocitica,血球貪食症候群,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linfo-histiocitose hemofagocítica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hemofagocyterande lymfohistiocytos (HLH),,,,,,,ฮีโมฟาโกไซติก ลิมโฟฮีสติโอไซโตซิส,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0050127,,,,,,,التهاب الجيوب,,,,,,,Sinusit,,,,,,,Синуит,,,,,,,,,,sinusitis,,,,,سینووزیت,,sinusitida,,,,Bihulebetændelse,Sinusitis,,,,ސައިނަސް,,Ιγμορίτιδα,,sinusitis,Sinusito,sinusitis,,Sinusitis,,سینوزیت,,Poskiontelontulehdus,,sinusite,,,,Cuaisíteas,,,,,,,,,,,,,,סינוסיטיס,साइनोसाइटिस,,Sinusitis,,,Սինուսիտ,Sinusitis,Sinusitis,,,,,sinusite,副鼻腔炎,,,,ჰაიმორიტი,,,,,Фронтит,,,,부비강염,,,,Sînûzît,Гайморит,,,,,,Obulwadde bw’ekiwanga,,,,Sinusite,,Haimoritas,deguna blakusdobuma iekaisums,,,,,,,,പീനസം,,,Resdung,,,,,,,,,bihulebetennelse,,पिनास,,Bijholteontsteking,biholebetennelse,,,,,,ସାଇନୁସାଇଟିସ,,,,,,,zapalenie zatok przynosowych,,,سينوسايټس,sinusite,,,,Sinuzită,Синусит,,,Sinizite,,Синуситка,,,,sinusitis,,,,Sinusitis,කෝඨරක ප්‍රදාහය,,Vnetje sinusov,,,Sinuziti,Упала синуса,,,,bihåleinflammation,,,புரையழற்சி,,సైనసైటిస్‌,,โพรงอากาศอักเสบ,,,,,,Sinüzit,,гаймарит,,,,,Синусит,,,,,,viêm xoang,,,,,,,,,,,鼻竇炎,,,鼻竇炎,
DOID:0050134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dermatomikozlar,,,,,,,,,,,,,,,,,,,
DOID:0050138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Podokoniose,,,,,,,,podoconiosis,,Podoconiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,podioconiose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0050144,,,,,,,متلازمة كارتاجنر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kartagener-Syndrom,,,,,,,,Kartagener syndrome,,Síndrome de disquinesia ciliar,,,,سندرم کارتاژنر,,Kartagenerin oireyhtymä,,Syndrome de Kartagener,,,,,,,,,,,,,,,,,,הפרעת תנועה ריסנית ראשונית,,,,,,,,,,,,,sindrome di Kartagener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syndroom van Kartagener,,,,,,,,,,,,,,Pierwotna dyskineza rzęsek,,,,Síndrome de Kartagener,,,,,Синдром Картагенера,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0050145,,,,,,,التهاب الزائدة الأنفية,,,,,,,,,,,,,,,,,,,,,,,,Adenoïditis,,,,,,,,,,,,,,,,,,,,adenoiditis,,adenoiditis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Գեղձանմաններ,,,,,,,adenoidite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0050147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otomicosi,,,,,,,,,,,,,,,,,,,,otomycosis,,Otomicosis,,,,عفونت قارچی گوش خارجی,,,,Otomycose,,,,,,,,,,,,,,,,,,,कणकवता,,,,,,,,,,,,,耳真菌症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otomicose,,,,,Отомикоз,,,,,,,,,,,,,,,,,,,,Отомикоза,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0050148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,laringotraqueítis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0050150,,,,,,,حمى بونتياك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pontiac fever,,Fiebre de Pontiac,,,,,,,,fièvre de Pontiac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,febbre di Pontiac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Понтиакская лихорадка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0050152,,,,,,,ذات الرئة الشفطي,,,,,,,,,,,,,,,,,,,,,,,,pneumònia per aspiració,,,,,,,,,,,Aspirationspneumoni,Aspirationspneumonie,,,,,,,,aspiration pneumonia,,neumonía por aspiración,,,,,,,,pneumopathie d'inhalation,,,,,,,,,,,,,,,,,,,,,,,,Ասպիրացիոն թոքաբորբ,,,,,,,polmonite ab ingestis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ଆସ୍ପିରେସନ ନିମୋନିଆ,,,,,,,Zachłystowe zapalenie płuc,,,,pneumonia por aspiração,,,,,Аспирационная пневмония,,,,,,,,,,,,,,,,,,,,,,,,Aspirationspneumoni,,,,,,,,,,,,,,,,,,,,,,,,,,Viêm phổi hít,,,,,,,,,,,,,,吸入性肺炎,
DOID:0050156,,,,,,,تليف رئوي مجهول السبب,,,,,,,,,,,,,,Идиопатична белодробна фиброза,,,,,,,,,,fibrosi pulmonar idiopàtica,,,,,,,,,,,,Idiopathische Lungenfibrose,,,,,,Ιδιοπαθής Πνευμονική Ίνωση,,idiopathic pulmonary fibrosis,,Fibrosis pulmonar idiopática,,,,فیبروز ریوی ایدیوپاتیک,,Idiopaattinen keuhkofibroosi,,Fibrose pulmonaire idiopathique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fibrosi polmonare idiopatica,特発性肺線維症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,idiopathische longfibrose,,,,,,,,,,,,,,Idiopatyczne włóknienie płuc,,,,pneumonia intersticial idiopática,,,,,,,,,,,,,,,,,,,,,,,,,,,,,idiopatisk fibrotiserande alveolit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,特发性肺纤维化,
